           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.0, build: 4ab6d2ee
Access web UI at http://localhost:6333/dashboard

2026-08-03T13:05:35.184522Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6457 "-" "python-client/1.16.1 python/3.9.1" 0.003156
2026-08-03T13:05:48.567767Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6067 "-" "python-client/1.16.1 python/3.9.1" 0.002097
2026-08-03T13:06:00.656558Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5862 "-" "python-client/1.16.1 python/3.9.1" 0.002232
2026-08-03T13:06:32.421671Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6278 "-" "python-client/1.16.1 python/3.9.1" 0.002333
2026-08-03T13:08:01.847527Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6068 "-" "python-client/1.16.1 python/3.9.1" 0.002263
2026-08-03T13:09:45.832565Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6326 "-" "python-client/1.16.1 python/3.9.1" 0.002250
2026-08-03T13:11:42.296586Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5890 "-" "python-client/1.16.1 python/3.9.1" 0.002203
2026-08-03T13:13:11.000130Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6118 "-" "python-client/1.16.1 python/3.9.1" 0.002120
2026-08-13T06:42:35.676979Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6592 "-" "python-client/1.16.1 python/3.9.1" 0.005894
2026-08-13T06:43:49.358513Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6283 "-" "python-client/1.16.1 python/3.9.1" 0.008115
2026-08-13T06:44:25.263247Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6457 "-" "python-client/1.16.1 python/3.9.1" 0.007015
2026-08-13T06:45:03.237522Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6067 "-" "python-client/1.16.1 python/3.9.1" 0.006336
2026-08-13T06:45:37.863225Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5862 "-" "python-client/1.16.1 python/3.9.1" 0.005694
2026-08-13T06:46:34.863358Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6278 "-" "python-client/1.16.1 python/3.9.1" 0.006238
2026-08-13T06:52:32.665309Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6069 "-" "python-client/1.16.1 python/3.9.1" 0.003162
2026-08-13T06:58:39.578658Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6326 "-" "python-client/1.16.1 python/3.9.1" 0.005436
2026-08-13T07:05:05.339995Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5890 "-" "python-client/1.16.1 python/3.9.1" 0.004235
2026-08-13T07:11:16.870145Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6119 "-" "python-client/1.16.1 python/3.9.1" 0.002554
2026-08-13T07:17:53.222320Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6277 "-" "python-client/1.16.1 python/3.9.1" 0.002330
2026-08-13T07:43:10.431627Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6068 "-" "python-client/1.16.1 python/3.9.1" 0.002114
2026-08-13T08:05:55.005073Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6326 "-" "python-client/1.16.1 python/3.9.1" 0.002284
2026-08-13T08:29:06.937631Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5889 "-" "python-client/1.16.1 python/3.9.1" 0.002128
2026-08-13T08:52:53.217308Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6118 "-" "python-client/1.16.1 python/3.9.1" 0.002098
2026-08-13T12:45:21.467225Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6591 "-" "python-client/1.16.1 python/3.9.1" 0.002311
